indicator,API_UserName,obs_date,OpDiv,observations,curr_date
207.244.89.161,64853912235916233429,2025-01-12,OS,10,2025-01-12
208.87.233.190,64853912235916233429,2025-01-12,OS,27,2025-01-12
221.222.184.230,64853912235916233429,2025-01-12,OS,1303,2025-01-12
37.139.145.57,64853912235916233429,2025-01-12,OS,29,2025-01-12
61.153.184.151,64853912235916233429,2025-01-12,OS,226,2025-01-12
80.66.83.46,64853912235916233429,2025-01-12,OS,2076,2025-01-12
80.66.83.49,64853912235916233429,2025-01-12,OS,5036,2025-01-12
84.239.47.7,64853912235916233429,2025-01-12,OS,1,2025-01-12
89.187.187.69,64853912235916233429,2025-01-12,OS,6,2025-01-12
91.191.209.46,64853912235916233429,2025-01-12,OS,72,2025-01-12
107.189.30.69,64853912235916233429,2025-01-13,OS,11,2025-01-13
118.193.72.187,64853912235916233429,2025-01-13,OS,3303,2025-01-13
119.200.13.201,64853912235916233429,2025-01-13,OS,312,2025-01-13
138.199.21.209,64853912235916233429,2025-01-13,OS,2,2025-01-13
146.70.45.166,64853912235916233429,2025-01-13,OS,4,2025-01-13
146.71.50.198,64853912235916233429,2025-01-13,OS,6262,2025-01-13
147.45.76.186,64853912235916233429,2025-01-13,OS,7,2025-01-13
152.32.128.214,64853912235916233429,2025-01-13,OS,865,2025-01-13
162.142.125.242,64853912235916233429,2025-01-13,OS,46714,2025-01-13
162.142.125.255,64853912235916233429,2025-01-13,OS,46499,2025-01-13
169.150.203.22,64853912235916233429,2025-01-13,OS,1,2025-01-13
171.25.193.77,64853912235916233429,2025-01-13,OS,6,2025-01-13
171.25.193.78,64853912235916233429,2025-01-13,OS,44,2025-01-13
183.215.194.158,64853912235916233429,2025-01-13,OS,35,2025-01-13
185.129.62.62,64853912235916233429,2025-01-13,OS,5,2025-01-13
185.220.100.240,64853912235916233429,2025-01-13,OS,3,2025-01-13
185.241.208.204,64853912235916233429,2025-01-13,OS,54,2025-01-13
192.42.116.192,64853912235916233429,2025-01-13,OS,50,2025-01-13
193.32.162.79,64853912235916233429,2025-01-13,OS,2145,2025-01-13
207.244.71.82,64853912235916233429,2025-01-13,OS,26,2025-01-13
207.244.89.162,64853912235916233429,2025-01-13,OS,34,2025-01-13
208.87.233.190,64853912235916233429,2025-01-13,OS,19,2025-01-13
221.222.184.230,64853912235916233429,2025-01-13,OS,1390,2025-01-13
61.153.184.151,64853912235916233429,2025-01-13,OS,292,2025-01-13
66.235.168.222,64853912235916233429,2025-01-13,OS,10,2025-01-13
80.66.83.46,64853912235916233429,2025-01-13,OS,1373,2025-01-13
80.66.83.49,64853912235916233429,2025-01-13,OS,7704,2025-01-13
107.189.30.69,64853912235916233429,2025-01-14,OS,2,2025-01-14
118.193.72.187,64853912235916233429,2025-01-14,OS,2943,2025-01-14
119.200.13.201,64853912235916233429,2025-01-14,OS,321,2025-01-14
138.199.21.209,64853912235916233429,2025-01-14,OS,1,2025-01-14
146.71.50.198,64853912235916233429,2025-01-14,OS,7260,2025-01-14
147.45.112.17,64853912235916233429,2025-01-14,OS,3,2025-01-14
147.45.76.186,64853912235916233429,2025-01-14,OS,8,2025-01-14
152.32.128.214,64853912235916233429,2025-01-14,OS,857,2025-01-14
162.142.125.242,64853912235916233429,2025-01-14,OS,45802,2025-01-14
162.142.125.255,64853912235916233429,2025-01-14,OS,45309,2025-01-14
171.25.193.20,64853912235916233429,2025-01-14,OS,11,2025-01-14
171.25.193.78,64853912235916233429,2025-01-14,OS,20,2025-01-14
183.215.194.158,64853912235916233429,2025-01-14,OS,36,2025-01-14
185.241.208.204,64853912235916233429,2025-01-14,OS,10,2025-01-14
192.42.116.192,64853912235916233429,2025-01-14,OS,32,2025-01-14
193.32.126.233,64853912235916233429,2025-01-14,OS,5,2025-01-14
193.32.162.79,64853912235916233429,2025-01-14,OS,1760,2025-01-14
207.244.71.82,64853912235916233429,2025-01-14,OS,34,2025-01-14
207.244.71.84,64853912235916233429,2025-01-14,OS,16,2025-01-14
207.244.89.161,64853912235916233429,2025-01-14,OS,27,2025-01-14
221.222.184.230,64853912235916233429,2025-01-14,OS,1364,2025-01-14
61.153.184.151,64853912235916233429,2025-01-14,OS,235,2025-01-14
80.66.83.46,64853912235916233429,2025-01-14,OS,1158,2025-01-14
80.66.83.49,64853912235916233429,2025-01-14,OS,3732,2025-01-14
89.187.187.69,64853912235916233429,2025-01-14,OS,4,2025-01-14
104.200.72.6,64853912235916233429,2025-01-15,OS,6,2025-01-15
107.189.30.69,64853912235916233429,2025-01-15,OS,13,2025-01-15
118.193.72.187,64853912235916233429,2025-01-15,OS,1833,2025-01-15
119.200.13.201,64853912235916233429,2025-01-15,OS,282,2025-01-15
146.70.45.166,64853912235916233429,2025-01-15,OS,3,2025-01-15
146.71.50.198,64853912235916233429,2025-01-15,OS,6108,2025-01-15
147.45.112.222,64853912235916233429,2025-01-15,OS,2,2025-01-15
147.45.76.186,64853912235916233429,2025-01-15,OS,11,2025-01-15
152.32.128.214,64853912235916233429,2025-01-15,OS,859,2025-01-15
162.142.125.242,64853912235916233429,2025-01-15,OS,43628,2025-01-15
162.142.125.255,64853912235916233429,2025-01-15,OS,43858,2025-01-15
171.25.193.77,64853912235916233429,2025-01-15,OS,7,2025-01-15
171.25.193.78,64853912235916233429,2025-01-15,OS,4,2025-01-15
183.215.194.158,64853912235916233429,2025-01-15,OS,40,2025-01-15
192.42.116.192,64853912235916233429,2025-01-15,OS,17,2025-01-15
193.32.162.79,64853912235916233429,2025-01-15,OS,1673,2025-01-15
207.244.71.82,64853912235916233429,2025-01-15,OS,18,2025-01-15
207.244.71.84,64853912235916233429,2025-01-15,OS,16,2025-01-15
207.244.89.161,64853912235916233429,2025-01-15,OS,30,2025-01-15
207.244.89.162,64853912235916233429,2025-01-15,OS,38,2025-01-15
221.222.184.230,64853912235916233429,2025-01-15,OS,1314,2025-01-15
61.153.184.151,64853912235916233429,2025-01-15,OS,203,2025-01-15
80.66.83.46,64853912235916233429,2025-01-15,OS,2147,2025-01-15
80.66.83.49,64853912235916233429,2025-01-15,OS,6123,2025-01-15
87.236.176.51,64853912235916233429,2025-01-15,OS,14,2025-01-15
104.200.72.6,64853912235916233429,2025-01-16,OS,4,2025-01-16
118.193.72.187,64853912235916233429,2025-01-16,OS,3701,2025-01-16
119.200.13.201,64853912235916233429,2025-01-16,OS,246,2025-01-16
146.70.192.174,64853912235916233429,2025-01-16,OS,2,2025-01-16
146.70.45.166,64853912235916233429,2025-01-16,OS,7,2025-01-16
146.71.50.198,64853912235916233429,2025-01-16,OS,7239,2025-01-16
